accountNumber,branchCode,openHours,establishedYear
ES0672925586839386425959,BR-67645,"['14:29', '01:43']",2009
ES3362858153155900337895,BR-39871,"['09:56', '21:13']",2006
ES6386266531424369603648,BR-33534,"['22:00', '22:52']",1990
ES2571184309528108009667,BR-33610,"['14:29', '01:43']",1994
ES0463999519937347425604,BR-29515,"['09:36', '23:48']",2016
ES1507383563900060780749,BR-06363,"['17:33', '19:51']",1995
ES4185913772625820613409,BR-69634,"['18:03', '15:45']",2004
ES3551741989356413775964,BR-47149,"['18:56', '22:59']",2011
ES1235905781210753920651,BR-27654,"['01:20', '05:25']",2003
ES1854173122855393817817,BR-27758,"['01:20', '05:25']",1998
ES9689997341067194392167,BR-59470,"['18:56', '22:59']",2006
ES4231376491623925261183,BR-40385,"['20:38', '20:03']",2015
ES0606203047144689829635,BR-64012,"['21:22', '18:41']",2013
ES2663594621434670058617,BR-50883,"['13:05', '12:35']",1997
ES1493954558478023516829,BR-26756,"['22:30', '19:50']",1998
ES7175940721818039730790,BR-78944,"['10:16', '10:50']",2014
ES0701912530578430656731,BR-56029,"['19:31', '23:42']",1997
ES1592378497304673811074,BR-17362,"['08:54', '22:52']",1992
ES5473965443806688087510,BR-69633,"['20:02', '18:44']",1994
ES6897575940237752206699,BR-03970,"['16:09', '07:27']",2008
ES3380453447726421438000,BR-26756,"['10:38', '08:15']",1998
ES2523914462643716314147,BR-86309,"['18:03', '15:45']",2005
ES1168023852898465369545,BR-90780,"['01:57', '07:23']",2006
ES4656241418367313152413,BR-65148,"['19:46', '13:53']",1997
ES1485015517973409645174,BR-37852,"['01:20', '05:25']",1997
ES2933260650477411352623,BR-44487,"['06:31', '07:15']",1995
ES7295136195508703466991,BR-61372,"['07:04', '14:18']",2010
ES0529187790823759885995,BR-54802,"['18:03', '15:45']",2023
ES6289212608981349246603,BR-47302,"['12:54', '23:37']",2006
ES6770331263676574873263,BR-35054,"['00:11', '16:58']",1995
ES8364812841892765053572,BR-67645,"['05:02', '11:48']",2009
ES6302928618404522312312,BR-44487,"['06:31', '07:15']",2000
ES7710553473001098519412,BR-80428,"['12:43', '23:44']",1997
ES7369707062521688048625,BR-70799,"['20:53', '23:33']",2000
ES0224201880373073508465,BR-71032,"['23:45', '01:37']",2006
ES2271005230050804756774,BR-87784,"['00:11', '16:58']",2015
ES6199994225353037442021,BR-19471,"['17:35', '09:34']",2020
ES6119685919419010691156,BR-33534,"['20:02', '18:44']",1996
ES4386726386679055109246,BR-93804,"['02:23', '00:01']",2019
ES3495562918417094267865,BR-32978,"['21:22', '18:41']",2014
ES3808994756541461626819,BR-87724,"['09:36', '23:48']",2015
ES3019601837794578475471,BR-63831,"['11:31', '11:29']",2000
ES7996690079105815420785,BR-00594,"['17:35', '09:34']",2019
ES3161178676684160743037,BR-02252,"['04:14', '03:32']",1992
ES3365133776964766704573,BR-35232,"['05:13', '23:22']",2006
ES9258795836649852770427,BR-00594,"['00:56', '17:57']",2008
ES6316712742005410563685,BR-61372,"['23:07', '09:01']",2003
ES2104376114988445143975,BR-77943,"['22:54', '04:53']",1995
ES8222999945149665633111,BR-34639,"['11:14', '07:45']",2020
ES7589664888326056827120,BR-02252,"['09:55', '18:51']",1994
ES0214439475623676176536,BR-19471,"['15:59', '14:11']",2022
ES5608188292488580120402,BR-29515,"['07:59', '06:04']",1997
ES1880012972530079705880,BR-77943,"['20:53', '23:33']",1998
ES2657065106341599856514,BR-35054,"['20:47', '15:54']",2010
ES0779182801687423965981,BR-69634,"['09:56', '21:13']",1990
ES6258250743665952605226,BR-33335,"['12:03', '03:29']",1995
ES8671900136331895323916,BR-77943,"['20:51', '01:04']",2022
ES5614038501870649028373,BR-06330,"['07:04', '14:18']",1996
ES3300058826121935834563,BR-06330,"['18:55', '00:23']",2002
ES2140796401281924127259,BR-97370,"['12:43', '23:44']",1999
ES1529913203442653741365,BR-02752,"['12:37', '18:46']",2000
ES5087846017537700645613,BR-77943,"['17:35', '09:34']",2019
ES4535316040900466609583,BR-34639,"['09:46', '12:23']",2023
ES4089675695463714289323,BR-43674,"['05:02', '11:48']",2010
ES8379627076613823378138,BR-69633,"['09:29', '18:55']",2015
ES9738604271290946906124,BR-17919,"['20:51', '01:04']",1997
ES9400249647707859804987,BR-15319,"['00:04', '17:26']",2010
ES4513979835584243090405,BR-81309,"['13:05', '21:01']",1998
ES1202945315319657248775,BR-65148,"['04:24', '18:38']",2003
ES4091484754968700693837,BR-69634,"['08:33', '05:16']",2014
ES9011057529162147263025,BR-09866,"['18:29', '05:17']",2017
ES3053907969130283642472,BR-23621,"['09:56', '21:13']",2010
ES0288749091909536064787,BR-69748,"['09:29', '18:55']",1994
ES6710725691336269477379,BR-50883,"['05:22', '22:19']",2009
ES6050389439300910142008,BR-46395,"['07:39', '18:36']",1997
ES4891379968027356014789,BR-56029,"['09:55', '18:51']",1993
ES2603521484753869243434,BR-70799,"['12:43', '23:44']",2015
ES5715455617132415437952,BR-70799,"['13:05', '21:01']",2015
ES9789916743215765289964,BR-51686,"['04:48', '10:41']",2010
ES7270304752322224830393,BR-76567,"['09:29', '18:55']",2012
ES4648027735740336727727,BR-64012,"['07:39', '18:36']",2003
ES6471276310303055163042,BR-04892,"['09:29', '18:55']",2015
ES1999300954353977475906,BR-31360,"['10:38', '08:15']",2018
ES8917003093331386299178,BR-33534,"['07:30', '18:43']",2023
ES2918046886036277024789,BR-34639,"['23:55', '11:30']",2021
ES8650787758905870750215,BR-35054,"['05:09', '01:40']",2017
ES6552524687215554837659,BR-12610,"['13:05', '12:35']",1990
ES7601309909378698310061,BR-77236,"['20:02', '18:44']",2022
ES1478140193652890571946,BR-31589,"['22:02', '03:57']",2005
ES5278524699043157046349,BR-92688,"['10:38', '08:15']",2015
ES4026900767550803777431,BR-50883,"['07:19', '17:26']",1997
ES8375689770102595807242,BR-39871,"['04:24', '05:53']",1990
ES3424258117254585397605,BR-95096,"['09:36', '23:48']",2021
ES8874017322291149771601,BR-76567,"['08:33', '05:16']",2019
ES8152382000716357711002,BR-23028,"['04:48', '10:41']",1997
ES9141560412599434340643,BR-09518,"['00:56', '17:57']",2012
ES1651851247438643704786,BR-27654,"['02:12', '10:25']",2011
ES8515074238872330471533,BR-96818,"['20:40', '11:41']",2015
ES7120234426294357863021,BR-87784,"['14:39', '04:32']",2014
ES3731183511877807234408,BR-46395,"['10:39', '01:59']",2019
ES1158124291347200290237,BR-53407,"['09:55', '18:51']",2010
ES3653485809625841698762,BR-67704,"['10:39', '01:59']",2003
ES8602522756199717989035,BR-37852,"['16:29', '16:04']",2006
ES2171449656321763387596,BR-12728,"['05:13', '23:22']",1995
ES1590631524663715794004,BR-23621,"['00:32', '21:06']",2019
ES3664664901865592801643,BR-33335,"['12:03', '03:29']",1995
ES9865202212666595522087,BR-86309,"['16:29', '16:04']",2004
ES4429589532764690137848,BR-71032,"['10:38', '08:15']",2006
ES9781041783664564559645,BR-75513,"['06:28', '09:05']",1996
ES1422049176798560292008,BR-47149,"['18:56', '22:59']",2008
ES4206852004010012314450,BR-49773,"['04:46', '00:14']",1990
ES0964307490630788863752,BR-88974,"['19:31', '23:42']",2018
ES0258236483936548448388,BR-51162,"['00:32', '21:06']",2012
ES0339122708457491708825,BR-50883,"['02:12', '10:25']",1990
ES1582187380075359789129,BR-93804,"['04:48', '10:41']",2020
ES5096484075144215470968,BR-80428,"['07:57', '17:56']",2020
ES4210927538519278472155,BR-46395,"['14:29', '01:43']",2013
ES6794445250911863369152,BR-87340,"['12:54', '23:37']",2003
ES1974400961353235622228,BR-17919,"['20:51', '01:04']",2003
ES8138543112713724357177,BR-21828,"['23:07', '09:01']",2009
ES6193589292584310940203,BR-87891,"['01:57', '07:23']",2016
ES8526807767454751730087,BR-77236,"['09:56', '21:13']",2009
ES1744370962262299709468,BR-91544,"['09:29', '18:55']",2023
ES8013532581583583658487,BR-95600,"['02:12', '10:25']",2005
ES8453823828900581682706,BR-15319,"['12:17', '10:07']",2015
ES5680225942272104627705,BR-47302,"['07:04', '14:18']",2006
ES1517403857591446027919,BR-80428,"['12:03', '03:29']",2019
ES1383380762997847011092,BR-77943,"['12:03', '03:29']",2002
ES1648715541356419746728,BR-46995,"['15:31', '05:09']",1998
ES5613457083640888675663,BR-77943,"['19:31', '23:42']",2023
ES2778210601286484300259,BR-02860,"['20:38', '20:03']",1990
ES0236649067898586069289,BR-87724,"['12:54', '23:37']",1994
ES4476142290969589997874,BR-04892,"['05:02', '11:48']",2019
ES7183441184861734027582,BR-54802,"['23:55', '11:30']",2006
ES9246128345735058069932,BR-47149,"['08:33', '05:16']",2017
ES1514650343842478250459,BR-63831,"['11:12', '02:12']",1997
ES8637348645811733021834,BR-36082,"['18:56', '22:59']",2005
ES2477556152604154111186,BR-51162,"['05:08', '22:50']",2006
ES6528808400094258319583,BR-67704,"['07:59', '06:04']",2010
ES5136224433798770992559,BR-04892,"['23:58', '07:29']",2009
ES4800438012097482159348,BR-16884,"['06:31', '07:15']",2010
ES3970270121642476968991,BR-87724,"['11:14', '07:45']",2020
ES0919927893022469129931,BR-17919,"['18:55', '00:23']",2021
ES0490144684276164916177,BR-33534,"['18:55', '00:23']",1992
ES8805953267928791770578,BR-63831,"['19:46', '13:53']",1994
ES9103279084870970774050,BR-33610,"['15:15', '04:06']",2015
ES5836871869115472445979,BR-31589,"['18:20', '10:27']",2011
ES3808411248478602816760,BR-03970,"['10:39', '01:59']",2010
ES7330913638126271260748,BR-47302,"['21:22', '18:41']",2009
ES0879098365335031379036,BR-35054,"['17:33', '19:51']",2008
ES8431688460762574908602,BR-64012,"['05:13', '23:22']",1997
ES0391890977288016081021,BR-33534,"['09:36', '15:32']",2018
ES1577607097391088541031,BR-47302,"['09:29', '18:55']",1991
ES6081080392652097354346,BR-36784,"['20:38', '20:03']",2010
ES2230428648402326599594,BR-47149,"['20:51', '01:04']",2013
ES9369066756921235469878,BR-36784,"['01:57', '07:23']",1998
ES5370848613183143592459,BR-19471,"['08:33', '05:16']",1998
ES4932201696085408530337,BR-12728,"['18:20', '10:27']",2021
ES7586505573596200199740,BR-06363,"['23:45', '01:37']",2006
ES7235824981983961876953,BR-47302,"['09:46', '12:23']",2023
ES9621302693870656563596,BR-97370,"['23:07', '09:01']",2021
ES6509262163588884151821,BR-00594,"['09:36', '23:48']",2010
ES0586072653337532709378,BR-27758,"['12:37', '18:46']",2000
ES9655582955357152915896,BR-33534,"['12:17', '10:07']",1994
ES0328337554201206520528,BR-88974,"['10:16', '10:50']",1991
ES5318918147334707918527,BR-16884,"['18:56', '22:59']",2020
ES5864422526821722114468,BR-61372,"['12:03', '03:29']",2015
ES5519913544640731010360,BR-80428,"['02:26', '02:12']",2015
ES5509318457992554011615,BR-96818,"['07:19', '17:26']",2012
ES4240154579420022045443,BR-67645,"['16:10', '14:57']",1996
ES2978034821288790190164,BR-91544,"['17:35', '09:34']",1993
ES9557001467506901404970,BR-95096,"['23:58', '07:29']",2023
ES7817784621571201478815,BR-02860,"['16:09', '07:27']",2013
ES8089030518433793767200,BR-67645,"['06:25', '14:00']",2021
ES4498647810470082709059,BR-29515,"['11:12', '02:12']",2006
ES2231563990443584749457,BR-17362,"['13:13', '11:34']",1991
ES2625898603161875413612,BR-80428,"['02:42', '20:58']",1990
ES8968839532728744443347,BR-51686,"['00:17', '01:26']",1994
ES1126672673768162521314,BR-97370,"['16:29', '16:04']",2021
ES8552814466960631086598,BR-11314,"['06:28', '09:05']",1997
ES9162441075961630186336,BR-44487,"['04:24', '18:38']",2013
ES7949126162076345930615,BR-51686,"['02:26', '02:12']",2020
ES4137714603932255716727,BR-59619,"['01:20', '05:25']",2003
ES1591917455170705957697,BR-47149,"['01:57', '07:23']",2019
ES3872464845976324022794,BR-44827,"['22:54', '04:53']",1994
ES5938870596551987607192,BR-63758,"['18:20', '10:27']",2016
ES5118483061527090783173,BR-40385,"['07:19', '17:26']",2000
ES3058071968040121556084,BR-71032,"['02:42', '20:58']",2022
ES3648838751283044114186,BR-39871,"['05:09', '01:40']",2021
ES6882523724108964221582,BR-10307,"['11:31', '11:29']",2015
ES7028957922932021526980,BR-43674,"['17:35', '09:34']",2012
ES2468295021132892275008,BR-70799,"['07:57', '17:56']",1996
ES8553677744202144178514,BR-87784,"['22:02', '03:57']",1991
ES7104927602179159545723,BR-12610,"['15:15', '04:06']",1996
ES8547396786030653213514,BR-33534,"['20:53', '23:33']",1992
ES9872074964271035167519,BR-69634,"['08:28', '15:40']",1995
ES1790369448669272887954,BR-40385,"['20:40', '11:41']",2013
ES2520628888914161316508,BR-51162,"['23:05', '18:12']",2012
ES6396035904833857500200,BR-93804,"['22:02', '03:57']",1998
ES8233269505697494547546,BR-53407,"['13:05', '12:35']",2005
ES3917050787684764411484,BR-96818,"['23:55', '11:30']",1997
ES3297339431398571892633,BR-16884,"['02:42', '20:58']",2018
ES3728302302571994869902,BR-59619,"['14:29', '01:43']",1995
ES1309773841062547288618,BR-90780,"['12:03', '03:29']",1991
ES7006894784720611976442,BR-76567,"['00:32', '21:06']",1990
ES9146318938154448254665,BR-37852,"['07:08', '14:40']",2011
ES0255045576612880504025,BR-66075,"['20:40', '11:41']",2020
ES1150818431275341822981,BR-35054,"['09:36', '15:32']",2012
ES7554621770951883099001,BR-67704,"['18:55', '00:23']",2010
ES5139019441124708651287,BR-47302,"['22:54', '04:53']",2000
ES3565053250497946173737,BR-76567,"['00:56', '17:57']",2018
ES0828889794500058565989,BR-16884,"['05:02', '11:48']",2015
ES2475852645308599511435,BR-71032,"['15:15', '04:06']",2018
ES0987474666280511870298,BR-03135,"['03:54', '12:55']",1990
ES0426779101140427117199,BR-93804,"['09:56', '21:13']",2006
ES5920397484750775847455,BR-10307,"['23:55', '11:30']",1997
ES4754576503237757580901,BR-56029,"['10:38', '08:15']",2015
ES5749372169946035044684,BR-16802,"['15:08', '07:41']",1990
ES7189424806809258199416,BR-36082,"['22:00', '22:52']",1994
ES6704954578156295386914,BR-03135,"['19:16', '10:43']",2012
ES8430167060965371270842,BR-09518,"['09:36', '15:32']",1996
ES5950037356787732537488,BR-43674,"['18:29', '05:17']",2015
ES2717041087079107292093,BR-39871,"['08:28', '15:40']",2010
ES1698053208500137927139,BR-59619,"['14:39', '04:32']",1996
ES3066892835221715710077,BR-63831,"['22:54', '04:53']",2011
ES7698517704537987899336,BR-02752,"['22:00', '22:52']",2019
ES0758133844223850995044,BR-17919,"['17:33', '19:51']",2020
ES7105792376861441410181,BR-33047,"['09:36', '08:38']",2012
ES1986340246302334593681,BR-59470,"['13:05', '21:01']",2018
ES0400651353074085248893,BR-06363,"['15:22', '21:05']",2023
ES3577758203856647890232,BR-19471,"['06:28', '09:05']",1995
ES7544499915143153728477,BR-64012,"['01:17', '09:36']",2021
ES2849579537370079016196,BR-50883,"['06:31', '07:15']",2013
ES3063463560484280933024,BR-95096,"['06:31', '07:15']",2003
ES9585431982811127028794,BR-11314,"['06:28', '09:05']",2014
ES6068053239642389884407,BR-27654,"['08:49', '15:54']",2003
ES1599715808614634966868,BR-43674,"['18:56', '22:59']",1996
ES3923140348986509811915,BR-31589,"['22:30', '19:50']",1996
ES1951558704637311593281,BR-76567,"['09:36', '15:32']",1990
ES3039451876442526512912,BR-17362,"['07:59', '06:04']",2004
ES2271508386638111417859,BR-81309,"['09:36', '23:48']",1998
ES7162520422359346117491,BR-93804,"['07:08', '14:40']",1998
ES1595077725096803863462,BR-16802,"['10:16', '10:50']",2010
ES9204080759749504293648,BR-17362,"['20:02', '18:44']",2010
ES2610399085970120748636,BR-32909,"['05:09', '01:40']",1994
ES3493773131703331389057,BR-70960,"['14:39', '04:32']",1997
ES7884213115840579086037,BR-26756,"['22:02', '03:57']",1998
ES9374186810091580569381,BR-35232,"['02:26', '02:12']",2017
ES0899076251132109932136,BR-47302,"['02:26', '02:12']",1998
ES8979756870731355565898,BR-33534,"['12:43', '23:44']",2004
ES8759927023236844451378,BR-77236,"['07:39', '18:36']",2010
ES9700665486206533923016,BR-70799,"['09:29', '18:55']",1995
ES1768544835979642249293,BR-23621,"['07:54', '10:06']",2010
ES2635467190385309273029,BR-02252,"['20:38', '20:03']",1991
ES0490750219405157521318,BR-19471,"['18:55', '00:23']",2020
ES1470000042672495310537,BR-76567,"['15:59', '14:11']",2020
ES3827050467020704253898,BR-92688,"['16:29', '16:04']",2021
ES4415089516754370054101,BR-00594,"['07:54', '10:06']",1998
ES8530901363282842492430,BR-39871,"['12:17', '10:07']",1997
ES8007600687753738075768,BR-67704,"['23:05', '18:12']",1995
ES2765410814313933870222,BR-46395,"['01:57', '07:23']",2017
ES6862685995071107537222,BR-00594,"['13:05', '12:35']",1997
ES0631320691839926784845,BR-78944,"['08:54', '22:52']",2000
ES6271780830778286098413,BR-27654,"['19:23', '20:44']",1990
ES6700799210454922504603,BR-03970,"['20:47', '15:54']",2017
ES3958246517410413104321,BR-21828,"['11:12', '02:12']",2018
ES6662736078332358367379,BR-02752,"['09:36', '15:32']",2022
ES2368951874495511325252,BR-37852,"['20:51', '01:04']",2012
ES8457479646139435515392,BR-17362,"['05:02', '11:48']",2021
ES0451862188102699518034,BR-35054,"['21:22', '18:41']",1992
ES7567658030967257382240,BR-47149,"['16:29', '16:04']",2023
ES2308757484602098077275,BR-19471,"['13:13', '11:34']",2023
ES4138949485988157538105,BR-47302,"['09:46', '12:23']",1995
ES9177521696777042628674,BR-80428,"['08:54', '22:52']",1995
ES4543019069692225395260,BR-69633,"['01:17', '09:36']",1995
ES7627472023103381524417,BR-76567,"['00:56', '17:57']",1991
ES7450917481869488530961,BR-66075,"['09:56', '21:13']",1990
ES0724143818833946585842,BR-87891,"['20:51', '01:04']",2020
ES8314708894725361861853,BR-59470,"['12:54', '23:37']",2015
ES6956877521327246216458,BR-87784,"['20:38', '20:03']",1997
ES2249628900000006512087,BR-10307,"['07:39', '18:36']",2004
ES1802625791709078678043,BR-36784,"['15:31', '05:09']",1994
ES4645162730274781554017,BR-86309,"['05:13', '23:22']",2014
ES2039761002560322103376,BR-36784,"['09:46', '12:23']",1994
ES1426322791194229911015,BR-75513,"['20:02', '18:44']",1994
ES0859233852471842360924,BR-53407,"['19:31', '23:42']",1996
ES0739165157200959556355,BR-51162,"['04:46', '00:14']",2020
ES0487820997116947578126,BR-02860,"['12:37', '18:46']",1993
ES6836734527293868664265,BR-66075,"['00:17', '01:26']",2017
ES4833493384139825411088,BR-66075,"['18:55', '00:23']",2015
ES4481710745141373383643,BR-71032,"['00:17', '01:26']",2020
ES4381095708773026845715,BR-52206,"['07:19', '17:26']",2003
ES3129869547551859079784,BR-11314,"['22:54', '04:53']",2010
ES3978714505440472960131,BR-44487,"['16:09', '07:27']",2019
ES1997949980278349435306,BR-78944,"['17:35', '09:34']",2020
ES6586131758303248410651,BR-46995,"['20:40', '11:41']",1998
ES0551052106532786260588,BR-81309,"['00:04', '17:26']",2010
ES2345971670373055230451,BR-90780,"['22:30', '19:50']",1996
ES0656477635992740153689,BR-47302,"['12:54', '23:37']",2010
ES6785914450568437895027,BR-26756,"['12:17', '10:07']",2021
ES5395403492568664417268,BR-15319,"['15:15', '04:06']",2020
ES8261244268232787202081,BR-87724,"['23:58', '07:29']",2005
ES0933713814327378562122,BR-87340,"['01:20', '05:25']",1990
ES5125790711544980037477,BR-31360,"['05:08', '22:50']",2010
ES1329644350716748131614,BR-71032,"['00:04', '17:26']",2019
ES4900351596394931290595,BR-17919,"['00:56', '17:57']",1997
ES6272482969978355367042,BR-31360,"['05:09', '01:40']",2018
ES6776288265773877889469,BR-27654,"['02:12', '10:25']",2002
ES9728778215221979394480,BR-02752,"['01:20', '05:25']",2012
ES8363239623931323009774,BR-78944,"['18:55', '00:23']",1995
ES0544935308983271602991,BR-81309,"['14:29', '01:43']",2006
ES6494639225252170405947,BR-49773,"['10:59', '06:56']",1995
ES3502493750876802751584,BR-51686,"['18:55', '00:23']",2021
ES1046001458219794506033,BR-70960,"['06:28', '09:05']",2003
ES7534658907093142721893,BR-10307,"['09:36', '23:48']",2003
ES9811143058390449615952,BR-10307,"['07:04', '14:18']",1995
ES7885036992413268116434,BR-97370,"['20:40', '11:41']",2023
ES2071537238518135918145,BR-16746,"['13:05', '21:01']",2020
ES3733711312033490219166,BR-10307,"['05:22', '22:19']",2017
ES6798368158771459561794,BR-02252,"['18:03', '15:45']",2021
ES4714232993003746955786,BR-17362,"['02:12', '10:25']",2006
ES3590217273298051361626,BR-21828,"['04:24', '18:38']",2016
ES3624241517788925819023,BR-16884,"['05:09', '01:40']",1997
ES8729874808355615511276,BR-15319,"['20:53', '23:33']",2015
ES8363821458981278653471,BR-56029,"['00:11', '16:58']",2000
ES2611373706430389874294,BR-31360,"['20:40', '11:41']",2021
ES4093121927564395769972,BR-02752,"['19:46', '13:53']",2006
ES9218089785470551383498,BR-32909,"['07:57', '17:56']",2020
ES4253604153608723724140,BR-69634,"['15:31', '05:09']",2010
ES6944917967329929588040,BR-33335,"['14:39', '04:32']",2002
ES3521321258106756463850,BR-95096,"['11:09', '00:14']",2000
ES9876033885535420111683,BR-33335,"['19:16', '10:43']",2008
ES9699160299513967983894,BR-33047,"['07:39', '18:36']",2010
ES0578871017220056514506,BR-80428,"['08:49', '15:54']",2004
ES2742539596207874570221,BR-27758,"['08:28', '15:40']",2010
ES6346485131965424487185,BR-59470,"['15:59', '14:11']",2000
ES1123128589283269710138,BR-50348,"['14:29', '01:43']",2000
ES0256778569030889590271,BR-44487,"['03:35', '07:14']",2020
ES2136658072454523411397,BR-95096,"['09:55', '18:51']",1992
ES8678964286948279323214,BR-19471,"['03:35', '07:14']",2023
ES8292124859458741739187,BR-35054,"['18:20', '10:27']",1993
ES4841671455635145927022,BR-95096,"['05:02', '11:48']",2006
ES0317771416911997030857,BR-71032,"['05:22', '22:19']",2005
ES5310368506667707016206,BR-97370,"['09:55', '18:51']",1996
ES0425644270258800306276,BR-59470,"['10:38', '08:15']",2019
ES6010133549514335879674,BR-64012,"['07:59', '06:04']",1997
ES9657508605358936734441,BR-00594,"['02:23', '00:01']",1994
ES2364619004271020017309,BR-27654,"['08:33', '05:16']",2019
ES7194805825024002536227,BR-04892,"['12:17', '10:07']",2003
ES4228308673481082476417,BR-10307,"['05:13', '23:22']",1991
ES5056021490644299973422,BR-03970,"['04:46', '00:14']",2016
ES5608923726734250348928,BR-17362,"['10:39', '01:59']",1996
ES6212036486620049746369,BR-51162,"['15:22', '21:05']",2010
ES5215060083282736454588,BR-59470,"['04:24', '18:38']",2003
ES4345781824902685652912,BR-81309,"['16:10', '14:57']",2020
ES3941819759818261846015,BR-02752,"['18:29', '05:17']",2006
ES7903655324505667046876,BR-12728,"['02:26', '02:12']",2003
ES5685792370127725752077,BR-16884,"['07:08', '14:40']",2006
ES5837329656642811585973,BR-63831,"['11:31', '11:29']",2012
ES1182057138470823559257,BR-59470,"['20:53', '23:33']",2010
ES0647084976412716357368,BR-69634,"['20:38', '20:03']",1995
ES5216566187857603709524,BR-06330,"['15:59', '14:11']",1997
ES7656721172663341609187,BR-70799,"['17:35', '09:34']",1990
ES8924741836229004917679,BR-69748,"['13:05', '12:35']",2008
ES9814034394386591696413,BR-40385,"['02:42', '20:58']",1997
ES4783132931407131292657,BR-59470,"['15:08', '07:41']",2000
ES6522902728615700293410,BR-06330,"['22:54', '04:53']",2013
ES6997995578381864389827,BR-03970,"['15:31', '05:09']",2023
ES5755630449178347894969,BR-06330,"['07:39', '18:36']",1997
ES4876041064108654317837,BR-26756,"['09:36', '08:38']",2015
ES1194670525997358121383,BR-35054,"['11:09', '00:14']",2020
ES1510834583621794386754,BR-69634,"['23:55', '11:30']",2004
ES6324922821451420311912,BR-33534,"['19:31', '23:42']",2002
ES8002090991343663250181,BR-06363,"['04:14', '03:32']",2017
ES6886235056922859184254,BR-76567,"['20:47', '15:54']",1994
ES5132950831840604188642,BR-36082,"['11:09', '00:14']",2015
ES0924232575501583420749,BR-86309,"['15:15', '04:06']",1995
ES6676993394197519376550,BR-59470,"['01:20', '05:25']",2000
ES0372792919364628105446,BR-92688,"['03:54', '12:55']",2018
ES9547331781548059571798,BR-10307,"['09:55', '18:51']",1994
ES8215706599356784671622,BR-02252,"['20:53', '23:33']",1994
ES4647346074238792938477,BR-02860,"['07:54', '10:06']",2015
ES3509446678256558378884,BR-40385,"['22:02', '03:57']",1993
ES7996768194290905098225,BR-27654,"['06:31', '07:15']",2019
ES7073976880694365494118,BR-87784,"['21:22', '18:41']",2002
ES3981991458001810516430,BR-87784,"['16:10', '14:57']",2019
ES1789010386188702409097,BR-21828,"['22:00', '22:52']",1995
ES4335334315137958148519,BR-49773,"['03:54', '12:55']",2015
ES7323715750418757254726,BR-27654,"['06:28', '09:05']",2005
ES3610297351550411235367,BR-43674,"['16:09', '07:27']",1995
ES3966410059425997958682,BR-15319,"['13:05', '21:01']",1995
ES3472452000312339468067,BR-70960,"['01:57', '07:23']",2010
ES3391800519726783454689,BR-67704,"['09:29', '18:55']",1994
ES8969263866011388540788,BR-33335,"['06:31', '07:15']",2000
ES4754154953629730611643,BR-09518,"['04:39', '18:39']",1998
ES0379100652596413890929,BR-33610,"['07:30', '18:43']",2014
ES3116660542514776699375,BR-87891,"['11:09', '00:14']",1997
ES5026099521519272994053,BR-16746,"['19:31', '23:42']",1995
ES6614476321468323087289,BR-46395,"['08:33', '05:16']",1996
ES8037088209725504911844,BR-23621,"['09:55', '18:51']",1994
ES4457150527049389777073,BR-46395,"['23:07', '09:01']",2021
ES0501128862949871820676,BR-27758,"['13:05', '12:35']",1996
ES3867195619649051380577,BR-16802,"['15:08', '07:41']",2013
ES7862462473206793973664,BR-46995,"['16:10', '14:57']",2010
ES0415002623097843964180,BR-86309,"['15:31', '05:09']",2009
ES7088903795168589831381,BR-31589,"['09:36', '08:38']",1994
ES5555173907028883702005,BR-11314,"['05:13', '23:22']",1994
ES0459107936807456890696,BR-02860,"['09:36', '23:48']",1998
ES1965432298293045534645,BR-95096,"['00:56', '17:57']",1995
ES4974971716387435346868,BR-35054,"['18:55', '00:23']",2019
ES9138140273431397688527,BR-17362,"['12:17', '10:07']",1998
ES6211592076250631028279,BR-63758,"['05:02', '11:48']",2012
ES2839476417096741662273,BR-49773,"['04:48', '10:41']",2015
ES5016144843917128685583,BR-80428,"['13:13', '11:34']",2003
ES1293861731104936177552,BR-92688,"['16:10', '14:57']",2016
ES1879692392441981432102,BR-95600,"['15:22', '21:05']",1997
ES7106601971060479189232,BR-51686,"['05:13', '23:22']",1995
ES9279687028161940240602,BR-70960,"['09:36', '08:38']",2020
ES6900233487363010999417,BR-09518,"['19:31', '23:42']",1995
ES7735419608951267015168,BR-32909,"['06:25', '14:00']",2009
ES3482091879307405725853,BR-02252,"['21:22', '18:41']",2019
ES7800955235385112153497,BR-34639,"['20:47', '15:54']",2003
ES9044889283508382521904,BR-61372,"['10:39', '01:59']",2013
ES7640633431412676036085,BR-78944,"['09:29', '18:55']",1991
ES6371979339545010392816,BR-86309,"['07:08', '14:40']",2021
ES9540274163553071791050,BR-61372,"['22:54', '04:53']",2010
ES4567656082945186236174,BR-81309,"['04:14', '03:32']",2015
ES0834357219680447348546,BR-80428,"['12:54', '23:37']",1995
ES3209340382112094922466,BR-32978,"['11:14', '07:45']",2002
ES0254507537349548421409,BR-90780,"['22:30', '19:50']",1995
ES1986595490743648811829,BR-81309,"['07:08', '14:40']",2021
ES1572580700766129644669,BR-16746,"['02:23', '00:01']",2021
ES8716735105443626424546,BR-54802,"['06:25', '14:00']",2017
ES1999738942459992590721,BR-92688,"['00:11', '16:58']",1994
ES1112024324495058099267,BR-59619,"['20:40', '11:41']",2020
ES5061945507179736578277,BR-37852,"['00:11', '16:58']",2010
